,index,filename,label,class_encoding,weights,prediction,predicted_letter,raw_pred_ain,raw_pred_ale,raw_pred_bet,raw_pred_dal,raw_pred_gim,raw_pred_het,raw_pred_hey,raw_pred_kaf,raw_pred_kuf,raw_pred_lam,raw_pred_mem,raw_pred_nun,raw_pred_pey,raw_pred_rey,raw_pred_sam,raw_pred_shi,raw_pred_taf,raw_pred_tet,raw_pred_tza,raw_pred_vav,raw_pred_yud,raw_pred_zay
0,0,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\ain.JPG,ain,[15],1,15,shi,0.0008175818,7.5276475e-05,3.891378e-06,9.385643e-06,7.97632e-07,0.0004777261,0.0011757538,0.094947904,0.0046105287,0.011729411,0.0013170103,0.00015208412,0.0017229134,0.00047941983,0.16261294,0.71755517,1.7372112e-06,0.00020850154,1.7282237e-06,7.199174e-06,0.0020895351,3.5709804e-06
1,1,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\ale.JPG,ale,[0],1,0,ain,0.9973131,0.0002458975,5.3958593e-05,0.0001188381,2.0921957e-06,9.1421585e-05,2.0740915e-06,6.4644773e-06,1.2028933e-05,0.00025132342,3.1735099e-06,1.798305e-05,1.0126025e-05,7.458851e-05,2.096365e-05,2.1603773e-05,5.7886605e-06,0.0005044883,3.5106035e-07,5.7725334e-05,4.88494e-05,0.0011371985
2,2,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\bet.JPG,bet,[1],1,1,ale,0.0046172794,0.554718,2.4454677e-08,2.7174536e-05,3.597163e-06,0.0015711674,3.3460283e-06,0.0001365699,0.00052145735,0.10128178,2.440078e-07,4.47506e-06,0.00018028998,0.0051986813,0.00017795757,0.0001294649,6.052856e-06,0.0059233094,5.134272e-05,0.0014083276,0.30921882,0.014820601
3,3,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\dal.JPG,dal,[3],1,3,dal,0.0002926173,2.9620454e-05,0.00013318373,0.9985985,2.7827775e-07,1.2039251e-06,0.00013582349,4.948082e-08,1.2871581e-08,3.366728e-05,4.70021e-05,1.7364237e-06,5.3320677e-09,8.939127e-09,7.919858e-08,4.9280022e-08,7.335043e-05,7.308801e-05,0.0005715092,5.515197e-06,1.3237191e-06,1.1974612e-06
4,4,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\gim.JPG,gim,[2],1,2,bet,0.01915775,0.0044110673,0.60019636,4.4704582e-05,0.01527488,0.005795711,0.039397433,0.016698081,0.118225746,0.011206149,0.115358315,0.0075545576,0.0007270501,0.0074226367,0.00015125342,0.008699581,3.2363834e-05,0.0048779217,0.00077431474,0.022920037,0.0004262006,0.00064792956
5,5,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\het.JPG,het,[7],1,7,kaf,9.4041316e-05,0.00019090818,7.230445e-06,0.00010060441,3.9707784e-06,0.0008903572,1.2202803e-05,0.98820055,0.0017078293,0.0059974524,7.5598373e-06,0.0010280634,7.421763e-05,0.00014617671,1.3131346e-05,0.0006772314,1.3831093e-09,0.00078043586,3.2373532e-07,4.313778e-05,1.7993609e-06,2.275344e-05
6,6,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\hey.JPG,hey,[4],1,4,gim,0.0014301952,4.310119e-05,0.00018932973,0.0006076257,0.95694244,0.0001102325,8.599518e-05,3.032196e-06,2.55341e-05,5.616364e-05,0.029199013,3.6706773e-05,0.0001523838,0.0006286393,2.9918667e-06,3.5300543e-06,0.003332359,8.657942e-07,0.006638678,0.00050467125,2.5112604e-06,4.107352e-06
7,7,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\kaf.JPG,kaf,[10],1,10,mem,0.0075790673,9.249122e-05,9.9534955e-06,0.00091845135,0.013166406,0.00041440089,0.00017777487,3.0316047e-05,0.0008685283,0.0036448783,0.8097027,0.0028818406,0.0040205815,0.0019519948,0.0025821,0.028576745,0.0693498,0.000111042296,0.00036852132,0.0007873301,0.019273626,0.033491477
8,8,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\kuf.JPG,kuf,[18],1,18,tza,4.1032757e-07,6.901375e-08,5.864813e-06,9.8777404e-05,1.3070381e-07,2.1456088e-09,2.6345132e-08,4.010051e-07,1.28480195e-08,4.2308134e-06,1.1522582e-06,1.1884919e-05,6.714418e-11,4.9780287e-08,4.5941445e-11,8.3699705e-09,1.4814419e-06,0.0025437276,0.9973316,1.2962206e-08,1.4510485e-07,2.1285837e-08
9,9,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\lam.JPG,lam,[11],1,11,nun,0.0004839886,1.6942262e-05,2.271393e-05,0.0010313762,9.186762e-07,5.801375e-06,0.00065510947,0.0026832246,3.3695127e-05,0.00020467272,0.0016017348,0.99236685,1.1955059e-07,4.207445e-06,2.664017e-07,3.134618e-05,6.941317e-06,0.00063412846,0.00017749034,1.166562e-05,1.437368e-05,1.2383526e-05
