,index,filename,label,class_encoding,weights,prediction,predicted_letter,raw_pred_ain,raw_pred_ale,raw_pred_bet,raw_pred_dal,raw_pred_gim,raw_pred_het,raw_pred_hey,raw_pred_kaf,raw_pred_kuf,raw_pred_lam,raw_pred_mem,raw_pred_nun,raw_pred_pey,raw_pred_rey,raw_pred_sam,raw_pred_shi,raw_pred_taf,raw_pred_tet,raw_pred_tza,raw_pred_vav,raw_pred_yud,raw_pred_zay
0,0,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\ain.JPG,ain,[15],1,15,shi,1.246919e-05,3.970938e-06,3.4815337e-05,5.5957344e-06,1.3407355e-06,1.8021012e-05,4.1086118e-05,0.0001363783,4.6181678e-05,6.542831e-06,2.7992965e-06,2.502429e-06,6.817221e-07,1.34757365e-05,0.00020813977,0.99900764,6.0479165e-06,2.649286e-05,8.5803623e-07,0.00010211721,0.00032243962,4.82988e-07
1,1,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\ale.JPG,ale,[0],1,0,ain,0.9999658,4.8854065e-07,8.1128405e-07,2.2635115e-06,3.8932143e-07,9.820639e-07,2.945357e-07,1.3258799e-07,1.0781029e-06,1.0999979e-06,1.2749408e-06,6.8578497e-06,3.4150048e-06,1.7006752e-07,6.136712e-06,8.08758e-07,1.1561822e-06,7.9433084e-07,4.9675943e-08,3.1982162e-07,4.1646027e-07,5.2374016e-06
2,2,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\bet.JPG,bet,[1],1,1,ale,0.00012050414,0.9969664,2.083584e-05,4.9008722e-05,0.00011235028,3.638565e-05,1.5835009e-05,1.20819495e-05,0.000120155295,0.00017672265,1.1143658e-05,2.1904016e-05,1.2902324e-05,4.44222e-05,0.00025521996,3.5500565e-05,2.1819598e-05,3.3427998e-05,1.8078079e-05,8.2054445e-05,0.0017083692,0.00012482205
3,3,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\dal.JPG,dal,[3],1,3,dal,8.15735e-08,3.151544e-08,2.0993939e-07,0.999995,1.43660985e-08,3.0248383e-08,1.0410585e-06,7.729177e-08,6.553665e-08,8.872573e-08,7.3243e-07,6.105674e-07,6.742366e-09,1.3466542e-08,1.3988412e-08,1.07968646e-07,1.2890166e-07,2.7143363e-07,8.9242747e-07,8.9485596e-08,2.3868742e-07,1.100574e-07
4,4,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\gim.JPG,gim,[2],1,2,bet,6.6292347e-07,1.8807056e-06,0.99996006,2.2101055e-06,3.5877605e-07,3.4374887e-06,8.4814965e-06,8.953971e-07,5.9141994e-06,8.7406903e-07,5.052388e-07,6.073809e-07,1.9936194e-06,9.116773e-07,3.4147655e-07,1.5257233e-07,5.273636e-07,7.2858434e-08,5.9110357e-06,2.9010366e-06,1.0624366e-06,8.974655e-08
5,5,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\het.JPG,het,[7],1,7,kaf,8.551413e-08,6.970364e-07,3.567407e-07,1.7660292e-06,1.15255915e-07,2.5578596e-05,2.9068275e-07,0.9998852,2.7320782e-06,7.394703e-05,1.3388575e-07,4.590562e-06,2.1977718e-07,8.854115e-07,3.8057205e-08,4.401296e-07,2.3893849e-08,1.6723602e-06,4.990267e-07,1.7472823e-07,4.0404285e-07,2.2327329e-07
6,6,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\hey.JPG,hey,[4],1,4,gim,0.00031273745,4.4565233e-05,0.00028767096,0.00035945978,0.9940222,1.1831019e-05,4.9707905e-05,1.5739124e-06,0.0007288304,0.00031697933,0.0006831296,3.7874503e-05,3.8929207e-05,2.6706277e-05,0.000119226694,6.443564e-06,0.0028207626,2.053453e-05,1.8093891e-05,5.8961075e-05,3.0777264e-06,3.0669366e-05
7,7,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\kaf.JPG,kaf,[10],1,10,mem,1.954934e-06,2.3128104e-08,2.1714456e-08,1.0190857e-05,1.0969198e-06,2.6618459e-08,2.884171e-07,2.1435733e-07,6.6837416e-08,1.8904046e-06,0.99997795,4.149159e-06,4.8069797e-08,1.1668786e-07,7.526728e-07,6.0253946e-08,7.123278e-08,7.779187e-07,8.9863434e-08,5.381262e-08,6.6478364e-08,1.1296721e-07
8,8,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\kuf.JPG,kuf,[18],1,18,tza,1.7080467e-08,2.059177e-09,2.2461597e-06,4.436109e-07,2.9372107e-09,9.875574e-10,2.0324181e-08,1.2759732e-08,1.8426658e-08,2.6414611e-08,4.969931e-09,8.353035e-08,2.1760581e-08,2.5062368e-09,9.019265e-09,1.1884466e-08,2.751534e-09,9.952513e-07,0.99999607,1.535795e-08,2.4166504e-09,4.1845613e-08
9,9,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\lam.JPG,lam,[11],1,11,nun,4.9181517e-06,2.1670626e-08,2.486554e-07,2.5245456e-07,1.9869441e-08,2.0023838e-07,6.61239e-07,5.599054e-07,3.0280947e-07,2.3809848e-07,1.96753e-06,0.9999888,6.5932277e-09,3.7364813e-07,2.660017e-08,1.0085378e-07,6.8667774e-08,8.914913e-07,1.0440631e-07,3.634488e-08,2.8269742e-09,1.2191956e-07
