,index,filename,label,class_encoding,hebrew,weights,prediction,predicted_letter,raw_pred_B,raw_pred_C,raw_pred_D,raw_pred_F,raw_pred_I,raw_pred_L,raw_pred_M,raw_pred_N,raw_pred_R,raw_pred_S,raw_pred_T,raw_pred_W,raw_pred_Z
0,41,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\B\B4.jpeg,B,[0],ב,1.0,0,B,0.9962598,4.860074e-07,6.422675e-05,0.00014223844,8.167494e-06,7.9734673e-07,0.0017490163,3.1899772e-06,1.4415012e-06,1.9410545e-06,1.6686938e-05,0.0017521033,3.0589074e-08
1,62,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C21.jpg,C,[1],כ,1.0,1,C,0.0011808106,0.71192205,0.026045222,0.010700259,0.034248337,0.20198323,3.4827455e-05,0.0003387116,0.0048224144,8.627328e-05,0.0013805673,0.00020477058,0.0070525
2,67,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C27.jpg,C,[1],כ,1.0,1,C,0.0010730667,0.95438576,0.001956884,0.0026413465,0.00054232404,0.0018332043,0.0014327464,0.029553918,0.000635317,0.0029281408,2.642203e-05,0.0016264983,0.0013643488
3,224,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\M\M15.jpg,M,[6],מ,1.0,6,M,7.002762e-06,1.529831e-07,0.00033356942,1.8711005e-05,0.0008734649,1.8690449e-06,0.45315823,0.035500646,1.5571528e-08,0.13616358,0.37251297,3.967038e-06,0.0014257638
4,285,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R17.jpg,R,[8],ר,1.0,4,I,0.098191425,0.0002713966,0.016337711,0.046384327,0.63446367,0.0009589242,0.0056922715,0.004118989,0.08199587,0.097621396,0.0025567557,0.0060512144,0.005356055
5,117,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\D\D27.jpg,D,[2],ו,1.0,4,I,0.014802971,0.0005121934,0.19795251,0.01622415,0.6732775,0.00073893066,0.0069375713,0.0019069427,0.006291909,0.005537775,0.0005181576,0.07385595,0.001443348
6,312,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\S\S12.jpeg,S,[9],ס,1.0,4,I,0.1001881,0.0016885325,0.061537668,0.03443874,0.38103127,0.0037411752,0.14528158,0.017118277,0.001083384,0.17555307,0.070481576,0.0008217879,0.007034758
7,288,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R20.jpg,R,[8],ר,1.0,2,D,0.00041464544,0.00032779202,0.60944235,0.0021502252,0.23208575,0.0043748287,5.0585313e-06,0.0001225889,0.04834889,8.768498e-05,2.979413e-05,0.078291826,0.024318527
8,82,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C44.jpeg,C,[1],כ,1.0,1,C,0.0022469475,0.8627933,0.11111053,0.005436338,0.00020157293,0.00262619,0.00033003697,0.0011771085,0.0018184254,4.2912605e-05,1.8313951e-05,0.00037449072,0.011823899
9,94,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\D\D11.jpg,D,[2],ו,1.0,2,D,0.2238448,0.01295957,0.3615712,0.03840611,0.26497626,0.0036424093,0.029572561,0.0011913105,0.0034621092,0.0066326326,0.0017695071,0.04488682,0.007084738
10,35,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\B\B27.jpg,B,[0],ב,1.0,0,B,0.40882888,1.1705705e-05,0.0067392914,0.007634619,0.00856362,0.0028019538,0.0065245866,0.000104439125,5.1135e-05,0.0019323832,0.249649,0.3069195,0.00023890163
11,185,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\L\L10.jpeg,L,[5],ל,1.0,4,I,0.0040470846,0.019618755,0.08183101,0.083541825,0.47796947,0.15777805,0.011330417,0.03779549,0.0034624042,0.0032556194,0.0021051564,0.09694115,0.020323612
12,405,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\Z\Z2.jpg,Z,[12],ז,1.0,2,D,0.0023750796,0.008025046,0.8572238,0.0145603,0.0046243356,0.02283812,0.0028344174,0.02019652,0.010223531,0.0019803415,0.00014530683,0.0044090804,0.0505642
13,251,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\N\N12.jpg,N,[7],נ,1.0,4,I,0.010909611,1.2403011e-06,0.003915128,0.00034787162,0.532301,0.00022058001,0.1959201,0.004646275,2.3190238e-05,0.113870405,0.13238133,0.0017064237,0.0037568454
14,291,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R23.jpg,R,[8],ר,1.0,2,D,0.11122137,0.0025279704,0.47176084,0.030769475,0.09543405,0.00079411163,0.0044770837,0.022746451,0.18485655,0.029220458,0.0007836464,0.020851696,0.024556343
15,372,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\W\W18.jpg,W,[11],ש,1.0,11,W,0.010212948,7.27408e-05,0.055883497,0.002421233,0.037223876,0.0009827644,0.00024126092,0.00012975477,0.0031967564,0.00013904375,7.933559e-05,0.8884767,0.0009400661
16,226,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\M\M17.jpg,M,[6],מ,1.0,9,S,0.00019076013,1.0938855e-06,0.009819777,0.00028054524,0.099376425,3.254393e-05,0.37665367,0.043669306,4.210041e-06,0.4365962,0.021940773,7.022681e-05,0.01136439
17,401,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\Z\Z16.jpg,Z,[12],ז,1.0,12,Z,0.0008989481,0.0032104747,0.39894712,0.0017377192,0.0054537635,0.00701867,0.0014584044,0.000468199,0.0015747853,0.007420726,0.00051406154,0.0007591724,0.570538
18,143,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\F\F23.jpg,F,[3],ט,1.0,4,I,0.0029661956,0.0016570259,0.003972605,0.018594755,0.7296475,0.19414239,0.0004902276,0.00026704467,0.0002446787,0.0048378464,0.0039824634,0.033247087,0.0059501426
19,227,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\M\M18.jpg,M,[6],מ,1.0,6,M,0.00030443683,5.2546003e-09,0.00015877905,5.9660515e-06,0.0016287491,1.8899694e-06,0.75136733,0.00055026903,2.9124806e-08,0.0040624966,0.24171731,0.00019547896,7.35322e-06
20,293,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R25.jpg,R,[8],ר,1.0,11,W,0.0021989609,0.0003830264,0.25239274,0.023253117,0.090600654,5.030038e-05,0.00055821124,0.004918081,0.024873616,0.0032288139,0.00021437305,0.59667027,0.0006578841
21,369,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\W\W16.jpeg,W,[11],ש,1.0,11,W,0.35335717,0.00015141923,0.02947251,0.015128752,0.09969118,0.00047070452,0.0057528797,0.00037907157,0.0038121648,0.0010148619,0.00014323552,0.49053776,8.824089e-05
