,index,filename,label,class_encoding,hebrew,weights,prediction,predicted_letter,raw_pred_B,raw_pred_C,raw_pred_D,raw_pred_F,raw_pred_I,raw_pred_L,raw_pred_M,raw_pred_N,raw_pred_R,raw_pred_S,raw_pred_T,raw_pred_W,raw_pred_Z
0,41,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\B\B4.jpeg,B,[0],ב,1.0,0,B,0.89063823,1.12698235e-05,0.0028060207,0.006644727,0.005129657,0.00015600791,0.0037934117,0.00061646034,0.00037480425,0.0004808696,0.00132147,0.088011846,1.525121e-05
1,62,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C21.jpg,C,[1],כ,1.0,1,C,0.0034316815,0.5200433,0.1644937,0.0124404505,0.012277869,0.27089113,0.00015268123,0.0027046571,0.00509765,0.0007476082,0.001954232,0.0011334171,0.0046316152
2,67,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C27.jpg,C,[1],כ,1.0,1,C,0.0025049062,0.9004116,0.037124008,0.00035250516,0.0004283849,0.0056974418,0.00042879404,0.045204327,0.0008543265,0.002887557,0.00015670915,0.00085886166,0.0030905693
3,224,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\M\M15.jpg,M,[6],מ,1.0,9,S,0.001675007,1.7910147e-06,0.003140207,0.002787761,0.044989888,9.541685e-06,0.073761255,0.05420393,2.8459856e-06,0.72003317,0.0895014,0.0008256932,0.009067468
4,285,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R17.jpg,R,[8],ר,1.0,0,B,0.3282254,0.00043667847,0.072497755,0.18789051,0.14867923,0.0026537036,0.0038715806,0.06382526,0.07607064,0.05959861,0.012300179,0.02280476,0.021145765
5,117,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\D\D27.jpg,D,[2],ו,1.0,4,I,0.060617216,0.0006072077,0.22637744,0.106534824,0.5049308,0.0053965836,0.0024380875,0.008418696,0.010068349,0.0012021762,0.0004459999,0.07056782,0.0023947402
6,312,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\S\S12.jpeg,S,[9],ס,1.0,4,I,0.17370082,0.00058581104,0.09723368,0.0021156278,0.42826352,0.00453382,0.03426121,0.04579045,0.004109628,0.08490076,0.10200137,0.0046357797,0.017867595
7,288,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R20.jpg,R,[8],ר,1.0,2,D,0.0011080845,6.8779926e-05,0.80289364,0.016353594,0.043052252,0.01459517,7.2590296e-06,0.0009599051,0.006326571,4.0013325e-05,0.0003000622,0.1036026,0.010692045
8,82,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C44.jpeg,C,[1],כ,1.0,2,D,0.0048044715,0.24103746,0.684472,0.0055183913,0.0072619943,0.035439555,6.9195936e-05,0.008961625,0.00063777325,0.0018265367,0.0006432804,0.004541037,0.0047865827
9,94,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\D\D11.jpg,D,[2],ו,1.0,2,D,0.2167702,0.0067948936,0.3784033,0.128024,0.13351053,0.011536041,0.0063392324,0.0153260855,0.0081325965,0.02184103,0.014266718,0.040814918,0.0182405
