,index,filename,label,class_encoding,weights,prediction,predicted_letter,raw_pred_ain,raw_pred_ale,raw_pred_bet,raw_pred_dal,raw_pred_gim,raw_pred_het,raw_pred_hey,raw_pred_kaf,raw_pred_lam,raw_pred_mem,raw_pred_nun,raw_pred_sam,raw_pred_tet,raw_pred_vav,raw_pred_yud,raw_pred_zay
0,0,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\ain.JPG,ain,[15],1,15,zay,5.306302e-07,2.737643e-06,7.6689415e-05,3.880099e-06,1.2812432e-05,7.744483e-06,9.401207e-06,2.0390651e-05,7.2726957e-06,1.138462e-05,1.0357445e-05,1.3055811e-06,3.6121758e-06,3.838213e-06,8.056934e-05,0.99974746
1,1,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\ale.JPG,ale,[0],1,0,ain,0.99997854,1.1887172e-06,7.853989e-07,1.1065206e-06,1.9054696e-07,6.1644846e-07,6.243422e-07,1.1708431e-07,2.6017673e-07,1.13123924e-07,4.8957577e-07,8.680753e-06,4.613198e-06,1.2494902e-06,1.3511539e-06,6.0521884e-08
2,2,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\bet.JPG,bet,[1],1,1,ale,0.00012807846,0.9995302,3.7341854e-06,1.4487351e-05,1.7107039e-05,5.1878555e-06,1.575639e-05,4.238117e-05,1.3115083e-05,9.059886e-06,2.1073125e-05,1.1362245e-05,2.0093337e-05,1.4466517e-05,0.00013558572,1.8363153e-05
3,3,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\dal.JPG,dal,[3],1,3,dal,2.200877e-06,3.984528e-08,2.9528187e-06,0.9999919,1.3024359e-07,2.1597243e-08,2.443471e-06,6.921698e-08,6.7762524e-09,7.6473965e-09,6.066216e-09,8.9041286e-08,3.2494094e-09,7.1309906e-08,1.9866497e-09,2.9037321e-09
4,4,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\gim.JPG,gim,[2],1,2,bet,6.8322897e-06,2.0339157e-05,0.9998785,8.525332e-06,4.1261846e-06,2.0913656e-06,5.481581e-06,2.1487174e-06,6.334471e-05,1.6694648e-06,1.6364962e-07,2.6487455e-06,2.0629634e-06,1.0863238e-06,9.765545e-08,7.5503215e-07
5,5,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\het.JPG,het,[7],1,7,kaf,5.323131e-06,1.9908985e-06,2.5867964e-06,4.1051126e-06,8.242374e-07,8.034045e-05,3.4952755e-06,0.99930596,1.4840074e-05,0.00053743983,2.712954e-06,2.4355726e-05,5.333149e-07,3.4333798e-06,4.0761897e-06,7.982512e-06
6,6,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\hey.JPG,hey,[4],1,4,gim,5.424785e-05,7.670526e-05,0.00010924393,0.0005736076,0.99219984,0.0002394525,5.996786e-05,0.00012646898,0.0005973703,0.00022516953,0.0049035875,0.00041923308,0.00023362492,1.4814505e-05,6.312895e-05,0.00010363563
7,7,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\kaf.JPG,kaf,[10],1,10,nun,1.4796138e-06,1.3353424e-06,4.9974153e-07,1.6210206e-05,7.7195524e-05,1.2035063e-06,1.0381256e-06,2.5597575e-07,3.5842564e-07,5.79113e-07,0.999887,1.3761405e-06,3.155083e-06,5.4894247e-07,3.2890532e-06,4.433682e-06
8,8,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\lam.JPG,lam,[11],1,11,sam,1.7460342e-06,2.7938372e-08,2.3494283e-07,3.8211052e-08,6.417576e-09,1.3821551e-07,1.6121459e-07,4.5434317e-07,2.1646261e-07,2.3695526e-08,5.420917e-07,0.9999962,2.5771327e-09,8.5008246e-08,2.5092659e-08,1.6485071e-08
9,9,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\NewCut\sivan_tst\mem.JPG,mem,[12],1,12,tet,0.018730208,0.00049474114,0.00013587171,0.00016506838,0.00055911375,0.00086160674,0.00010230326,0.00010455158,0.00044233486,0.001969946,5.1662595e-05,0.0008173715,0.8033721,0.17124145,0.0007202572,0.0002313805
