,index,filename,label,class_encoding,hebrew,weights,prediction,predicted_letter,raw_pred_B,raw_pred_C,raw_pred_D,raw_pred_F,raw_pred_I,raw_pred_L,raw_pred_M,raw_pred_N,raw_pred_R,raw_pred_S,raw_pred_T,raw_pred_W,raw_pred_Z
0,41,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\B\B4.jpeg,B,[0],ב,1.0,0,B,0.9288886,3.0235036e-05,0.0032225018,0.0129645085,0.0007482726,1.66605e-05,0.0020958835,0.0016504016,0.000381929,0.00025435566,0.00044564772,0.049294244,6.7682204e-06
1,62,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C21.jpg,C,[1],כ,1.0,1,C,0.00012544903,0.82271177,0.15800217,0.002648248,0.0027321393,0.011061921,3.140956e-06,1.681487e-05,0.002091954,1.3474506e-05,2.0958301e-05,3.1370422e-05,0.000540565
2,67,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C27.jpg,C,[1],כ,1.0,1,C,0.00019044115,0.99519604,0.0014639577,4.7570982e-05,2.5693329e-05,0.00074586296,0.00022193977,0.0010805717,6.221033e-05,0.0004311229,1.3464833e-06,7.2777284e-06,0.0005259242
3,224,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\M\M15.jpg,M,[6],מ,1.0,9,S,0.0003551965,1.224231e-09,0.0006751988,0.00025864397,0.0012887925,6.42659e-08,0.05387019,0.08600779,4.7025e-09,0.82242644,0.03381175,1.1107542e-05,0.0012948427
4,285,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R17.jpg,R,[8],ר,1.0,4,I,0.30947244,0.0006737398,0.048744597,0.05493241,0.4600279,0.0003384041,0.003858437,0.010169639,0.017333973,0.05210858,0.003646485,0.035293233,0.0034001523
5,117,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\D\D27.jpg,D,[2],ו,1.0,2,D,0.066046655,0.010595902,0.49945122,0.07708233,0.20469825,0.0018652896,0.004789343,0.0032069914,0.02929736,0.0019802123,7.433671e-05,0.099705555,0.0012065057
6,312,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\S\S12.jpeg,S,[9],ס,1.0,4,I,0.04483485,0.00024539465,0.116360955,0.0022209005,0.31054834,0.00096691976,0.20226792,0.04778392,0.00074690615,0.22507897,0.029520895,0.005341012,0.014083101
7,288,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\R\R20.jpg,R,[8],ר,1.0,2,D,7.8653735e-05,2.8725884e-05,0.78370047,0.006307625,0.059220087,0.011725314,5.0229505e-06,3.395742e-05,0.0013011594,9.301468e-06,8.465304e-06,0.12963086,0.007950362
8,82,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\C\C44.jpeg,C,[1],כ,1.0,1,C,7.518238e-05,0.9969818,0.002478245,2.3373368e-05,1.8674726e-05,9.4542156e-05,6.032367e-06,7.684262e-06,0.00020148479,6.9177586e-06,2.5319798e-07,1.7900221e-06,0.00010394024
9,94,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\D\D11.jpg,D,[2],ו,1.0,2,D,0.097525075,0.0009863651,0.76269364,0.064867325,0.041654598,0.007070492,0.0014304563,0.0021688766,0.0018296774,0.0063625057,0.0012166713,0.010592336,0.0016019739
10,35,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\B\B27.jpg,B,[0],ב,1.0,11,W,0.09606523,4.4657895e-06,0.0034943211,0.009051772,0.11460201,0.00080791,0.011779407,0.0019319986,2.539259e-05,0.004359088,0.052699912,0.7048576,0.00032097893
11,185,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\L\L10.jpeg,L,[5],ל,1.0,2,D,0.0009050528,0.01655763,0.5562201,0.032688692,0.055117846,0.28993016,0.0012165572,0.0036666263,0.011544467,0.00040326547,0.00010996502,0.02036865,0.01127092
12,405,C:\Users\40gil\Desktop\final_project\tensor_training\processed_images\firstCut_noZevel\hebrew_to_english\Z\Z2.jpg,Z,[12],ז,1.0,2,D,0.00026694144,0.013264471,0.837628,0.018043863,0.0013885809,0.057249844,0.0034707824,0.027187107,0.016288456,0.0019726304,0.00036387847,0.0062425183,0.016633028
